,cat,end,segment,start
0,1,1522665065.68,"1,1,1,1,0,0",1522665023.58
1,1,1522665780.1,"1,1,1,0,0",1522665746.23
2,1,1522666971.57,"1,1,0",1522666943.01
3,1,1522667499.37,"1,1,1,1,0",1522667453.54
4,1,1522668028.52,"1,1,0",1522667996.96
5,1,1522668927.9,"1,1,1,0",1522668897.9
6,1,1522664777.32,"1,1,1,1,0",1522664732.67
7,1,1522665493.21,"1,1,1,1,1,3",1522665454.87
8,1,1522666433.4,"1,1,1,3",1522666392.25
9,1,1522667195.47,"1,1,1,0",1522667156.16
10,1,1522667740.4,"1,1,1,1,0",1522667698.09
11,1,1522668273.16,"1,1,1,0",1522668239.72
